title,price_gbp,star_rating,rating,availability,in_stock,category,price_inr
It's Only the Himalayas,45.17,Two,2,In stock,True,Travel,4765.435
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,Four,4,In stock,True,Travel,5214.865
See America: A Celebration of Our National Parks & Treasured Sites,48.87,Three,3,In stock,True,Travel,5155.785
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,Two,2,In stock,True,Travel,3897.1699999999996
Under the Tuscan Sun,37.33,Three,3,In stock,True,Travel,3938.3149999999996
A Summer In Europe,44.34,Two,2,In stock,True,Travel,4677.870000000001
The Great Railway Bazaar,30.54,One,1,In stock,True,Travel,3221.97
A Year in Provence (Provence #1),56.88,Four,4,In stock,True,Travel,6000.84
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,One,1,In stock,True,Travel,2448.655
Neither Here nor There: Travels in Europe,38.95,Three,3,In stock,True,Travel,4109.225
"1,000 Places to See Before You Die",26.08,Five,5,In stock,True,Travel,2751.4399999999996
Sharp Objects,47.82,Four,4,In stock,True,Mystery,5045.01
"In a Dark, Dark Wood",19.63,One,1,In stock,True,Mystery,2070.9649999999997
The Past Never Ends,56.5,Four,4,In stock,True,Mystery,5960.75
A Murder in Time,16.64,One,1,In stock,True,Mystery,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,Four,4,In stock,True,Mystery,4652.55
The Last Mile (Amos Decker #2),54.21,Two,2,In stock,True,Mystery,5719.155
That Darkness (Gardiner and Renner #1),13.92,One,1,In stock,True,Mystery,1468.56
Tastes Like Fear (DI Marnie Rome #3),10.69,One,1,In stock,True,Mystery,1127.7949999999998
A Time of Torment (Charlie Parker #14),48.35,Five,5,In stock,True,Mystery,5100.925
A Study in Scarlet (Sherlock Holmes #1),16.73,Two,2,In stock,True,Mystery,1765.015
Poisonous (Max Revere Novels #3),26.8,Three,3,In stock,True,Mystery,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,Four,4,In stock,True,Mystery,5734.98
Most Wanted,35.28,Three,3,In stock,True,Mystery,3722.04
Hide Away (Eve Duncan #20),11.84,One,1,In stock,True,Mystery,1249.12
